checkpoint,avg_cost
1,38.244178889402
2,58.71219921611088
3,55.20275523409695
4,78.7150836159512
5,91.52256716687968
6,98.09095326341381
7,110.21400112320961
8,106.11945322217314
9,134.23286534795878
10,102.82430990599809
11,101.48463138168741
12,100.56582644012398
13,100.16784330571664
14,115.95140844954638
15,161.81611308516
16,143.84279377949645
17,100.00990827376903
18,100.0000109876111
19,100.0
20,100.00000003709454
21,100.0
22,100.0
23,100.0
24,100.0
25,100.0
26,100.0
27,100.0
28,100.0
29,100.0
30,100.00000002906167
31,100.00000002906167
32,100.00000002906167
33,100.0
34,8.272216295477929
35,0.00039933522262362083
36,0.000585396458417518
37,9.522449046600472e-07
38,9.480831212993433e-08
39,6.432010182450852e-08
40,2.1238160645810093e-05
41,111.71604034982954
42,104.8621765396015
43,81.27710539329895
44,91.61487925556854
45,97.31724304663511
46,100.3062846493703
47,80.60571966920558
48,92.81537631270206
49,96.94763398439298
50,131.86748632656983
