from_checkpoint,to_checkpoint,model,norm_prev,norm_curr,norm_diff,relative_diff,cosine_similarity
baseline_daily1,baseline_daily2,actor,988.41125,979.31744,9.274843,0.009383587,0.9999984
baseline_daily1,baseline_daily2,critic_q_ex,1375.4423,1358.672,17.564528,0.012770094,0.9999928
baseline_daily1,baseline_daily2,critic_q_ex2,1375.808,1360.0508,33.23373,0.024155792,0.99977124
baseline_daily2,baseline_daily3,actor,979.31744,973.05286,6.4720106,0.0066086953,0.9999987
baseline_daily2,baseline_daily3,critic_q_ex,1358.672,1352.3103,7.3879037,0.0054375916,0.99999624
baseline_daily2,baseline_daily3,critic_q_ex2,1360.0508,1355.1813,27.58152,0.020279773,0.99980015
baseline_daily3,baseline_daily4,actor,973.05286,949.2179,24.040052,0.024705803,0.99999464
baseline_daily3,baseline_daily4,critic_q_ex,1352.3103,1330.7285,24.95601,0.018454352,0.99995625
baseline_daily3,baseline_daily4,critic_q_ex2,1355.1813,1335.7495,36.966324,0.027277771,0.99972683
baseline_daily4,baseline_daily5,actor,949.2179,930.2933,19.124346,0.020147476,0.9999956
baseline_daily4,baseline_daily5,critic_q_ex,1330.7285,1312.2551,20.424913,0.01534867,0.9999781
baseline_daily4,baseline_daily5,critic_q_ex2,1335.7495,1319.9907,33.67739,0.025212355,0.9997488
baseline_daily5,baseline_daily6,actor,930.2933,916.6267,13.879671,0.014919673,0.9999964
baseline_daily5,baseline_daily6,critic_q_ex,1312.2551,1287.4395,25.578367,0.019491917,0.99998873
baseline_daily5,baseline_daily6,critic_q_ex2,1319.9907,1298.445,36.410107,0.027583608,0.99974877
baseline_daily6,baseline_daily7,actor,916.6267,905.2246,11.565292,0.012617232,0.99999774
baseline_daily6,baseline_daily7,critic_q_ex,1287.4395,1276.921,12.059563,0.009367092,0.9999893
baseline_daily6,baseline_daily7,critic_q_ex2,1298.445,1291.344,26.844309,0.020674199,0.99979985
baseline_daily7,baseline_daily8,actor,905.2246,902.45703,3.6900995,0.0040764464,0.9999964
baseline_daily7,baseline_daily8,critic_q_ex,1276.921,1285.4003,15.235846,0.011931705,0.99995136
baseline_daily7,baseline_daily8,critic_q_ex2,1291.344,1302.856,26.081062,0.020196836,0.99983716
baseline_daily8,baseline_daily9,actor,902.45703,927.7423,25.503084,0.02825961,0.9999934
baseline_daily8,baseline_daily9,critic_q_ex,1285.4003,1317.8379,33.0021,0.025674572,0.9999892
baseline_daily8,baseline_daily9,critic_q_ex2,1302.856,1336.0568,33.64975,0.025827682,0.9999913
baseline_daily9,baseline_daily10,actor,927.7423,968.09564,40.750244,0.043924097,0.999982
baseline_daily9,baseline_daily10,critic_q_ex,1317.8379,1321.9175,55.48642,0.042104132,0.99912107
baseline_daily9,baseline_daily10,critic_q_ex2,1336.0568,1338.3699,59.881905,0.04481988,0.9989987
baseline_daily10,baseline_daily11,actor,968.09564,1025.134,57.512726,0.059408102,0.99997264
baseline_daily10,baseline_daily11,critic_q_ex,1321.9175,1338.0436,71.7446,0.05427313,0.9986185
baseline_daily10,baseline_daily11,critic_q_ex2,1338.3699,1352.9469,75.218376,0.056201488,0.9984964
baseline_daily11,baseline_daily12,actor,1025.134,1089.4529,64.716446,0.06312974,0.9999768
baseline_daily11,baseline_daily12,critic_q_ex,1338.0436,1414.6926,77.84989,0.058181882,0.999951
baseline_daily11,baseline_daily12,critic_q_ex2,1352.9469,1428.2178,81.96152,0.060579997,0.9997276
baseline_daily12,baseline_daily13,actor,1089.4529,1133.4945,44.265408,0.04063086,0.999992
baseline_daily12,baseline_daily13,critic_q_ex,1414.6926,1473.0978,58.976597,0.04168863,0.9999838
baseline_daily12,baseline_daily13,critic_q_ex2,1428.2178,1486.0894,64.12007,0.044895165,0.9998205
baseline_daily13,baseline_daily14,actor,1133.4945,1180.6146,47.385036,0.04180438,0.9999904
baseline_daily13,baseline_daily14,critic_q_ex,1473.0978,1534.5067,61.985226,0.04207815,0.9999843
baseline_daily13,baseline_daily14,critic_q_ex2,1486.0894,1547.84,65.452,0.044043113,0.9998977
baseline_daily14,baseline_daily15,actor,1180.6146,1220.0927,39.647713,0.033582266,0.99999523
baseline_daily14,baseline_daily15,critic_q_ex,1534.5067,1589.0128,55.246586,0.03600283,0.9999836
baseline_daily14,baseline_daily15,critic_q_ex2,1547.84,1603.69,60.240547,0.038919106,0.99989736
baseline_daily15,baseline_daily16,actor,1220.0927,1244.9146,24.960526,0.020457894,0.9999976
baseline_daily15,baseline_daily16,critic_q_ex,1589.0128,1620.1141,32.366844,0.020369152,0.99998456
baseline_daily15,baseline_daily16,critic_q_ex2,1603.69,1636.7701,41.09886,0.025627686,0.99988693
baseline_daily16,baseline_daily17,actor,1244.9146,1265.8859,21.075779,0.016929498,0.9999986
baseline_daily16,baseline_daily17,critic_q_ex,1620.1141,1655.3384,37.439995,0.023109479,0.99996996
baseline_daily16,baseline_daily17,critic_q_ex2,1636.7701,1674.2534,45.27349,0.027660262,0.99988234
baseline_daily17,baseline_daily18,actor,1265.8859,1274.4246,8.733314,0.006898974,0.9999989
baseline_daily17,baseline_daily18,critic_q_ex,1655.3384,1666.3751,14.919099,0.009012719,0.9999817
baseline_daily17,baseline_daily18,critic_q_ex2,1674.2534,1688.136,29.433651,0.017580165,0.99988085
baseline_daily18,baseline_daily19,actor,1274.4246,1286.4955,12.14693,0.009531305,0.9999994
baseline_daily18,baseline_daily19,critic_q_ex,1666.3751,1686.1581,22.266947,0.0133625055,0.9999815
baseline_daily18,baseline_daily19,critic_q_ex2,1688.136,1710.9938,33.847042,0.02004995,0.99989206
baseline_daily19,baseline_daily20,actor,1286.4955,1291.7693,5.362267,0.0041681197,0.9999995
baseline_daily19,baseline_daily20,critic_q_ex,1686.1581,1700.0138,18.327639,0.010869467,0.99997497
baseline_daily19,baseline_daily20,critic_q_ex2,1710.9938,1728.3372,31.44942,0.018380793,0.9998836
baseline_daily20,baseline_daily21,actor,1291.7693,1307.6321,15.938597,0.012338579,0.9999991
baseline_daily20,baseline_daily21,critic_q_ex,1700.0138,1720.5681,22.271532,0.0131007945,0.99998754
baseline_daily20,baseline_daily21,critic_q_ex2,1728.3372,1752.5979,34.009285,0.01967746,0.99990624
baseline_daily21,baseline_daily22,actor,1307.6321,1301.9967,5.7781086,0.0044187573,0.99999964
baseline_daily21,baseline_daily22,critic_q_ex,1720.5681,1723.6729,15.126697,0.008791687,0.99996316
baseline_daily21,baseline_daily22,critic_q_ex2,1752.5979,1760.0675,29.90827,0.017065106,0.9998641
baseline_daily22,baseline_daily23,actor,1301.9967,1312.6483,10.698725,0.008217167,0.99999976
baseline_daily22,baseline_daily23,critic_q_ex,1723.6729,1726.6963,16.47513,0.009558153,0.999956
baseline_daily22,baseline_daily23,critic_q_ex2,1760.0675,1767.8408,30.714468,0.017450733,0.999858
baseline_daily23,baseline_daily24,actor,1312.6483,1317.2062,4.6156416,0.003516282,0.99999994
baseline_daily23,baseline_daily24,critic_q_ex,1726.6963,1741.2047,18.562529,0.010750315,0.9999778
baseline_daily23,baseline_daily24,critic_q_ex2,1767.8408,1787.2225,32.10117,0.018158404,0.9998963
baseline_daily24,baseline_daily25,actor,1317.2062,1322.2734,5.153145,0.003912178,0.99999976
